iter	Passed	Remaining
174	681	3213
175	685	3207
176	689	3203
177	692	3198
178	696	3192
179	699	3187
180	703	3182
181	707	3177
182	710	3172
183	714	3166
184	717	3161
185	721	3157
186	725	3154
187	729	3149
188	732	3144
189	736	3139
190	740	3134
191	743	3129
192	747	3124
193	750	3119
194	754	3115
195	758	3110
196	762	3107
197	765	3101
198	770	3100
199	774	3099
200	779	3098
201	783	3093
202	786	3089
203	790	3085
204	794	3081
205	798	3078
206	802	3075
207	806	3071
208	810	3066
209	814	3062
210	818	3058
211	822	3055
212	826	3052
213	829	3048
214	833	3044
215	837	3040
216	841	3036
217	845	3032
218	849	3029
219	853	3025
220	856	3020
221	860	3017
222	864	3012
223	868	3007
224	871	3002
225	875	2997
226	878	2992
227	882	2987
228	885	2982
229	889	2977
230	893	2973
231	896	2969
232	900	2964
233	904	2959
234	908	2956
235	911	2951
236	915	2947
237	918	2942
238	922	2937
239	926	2933
240	929	2928
241	933	2923
242	936	2918
243	940	2913
244	944	2909
245	947	2905
246	951	2900
247	975	2959
248	982	2962
249	990	2971
250	1000	2986
251	1009	2995
252	1017	3003
253	1023	3006
254	1031	3014
255	1040	3024
256	1049	3034
257	1056	3039
258	1064	3046
259	1072	3051
260	1082	3066
261	1092	3078
262	1101	3085
263	1108	3091
264	1116	3097
265	1123	3098
266	1127	3094
267	1131	3089
268	1135	3084
269	1139	3079
270	1143	3075
271	1148	3073
272	1160	3089
273	1169	3098
274	1175	3100
275	1180	3096
276	1184	3092
277	1189	3088
278	1193	3084
279	1197	3080
280	1201	3075
281	1205	3069
282	1209	3064
283	1213	3059
284	1217	3054
285	1221	3048
286	1224	3042
287	1228	3036
288	1231	3030
289	1235	3024
290	1239	3018
291	1242	3012
292	1246	3007
293	1250	3001
294	1253	2996
295	1257	2990
296	1261	2985
297	1264	2979
298	1268	2974
299	1272	2969
300	1277	2967
301	1281	2961
302	1284	2955
303	1288	2949
304	1292	2944
305	1295	2938
306	1299	2932
307	1302	2926
308	1306	2921
309	1309	2915
310	1313	2909
311	1316	2903
312	1320	2898
313	1324	2893
314	1328	2888
315	1332	2883
316	1336	2879
317	1339	2873
318	1343	2868
319	1347	2863
320	1351	2857
321	1355	2853
322	1358	2847
323	1362	2842
324	1365	2836
325	1369	2830
326	1372	2825
327	1376	2819
328	1379	2814
329	1383	2808
330	1387	2803
331	1390	2797
332	1394	2792
333	1397	2787
334	1401	2781
335	1404	2776
336	1408	2770
337	1411	2765
338	1415	2759
339	1419	2754
340	1422	2749
341	1426	2743
342	1429	2738
343	1433	2733
344	1436	2727
345	1440	2722
346	1444	2718
347	1448	2714
348	1452	2708
349	1455	2703
350	1459	2699
351	1463	2694
352	1466	2688
353	1470	2683
354	1474	2678
355	1477	2672
356	1481	2667
357	1484	2662
358	1488	2657
359	1492	2653
360	1496	2648
361	1500	2643
362	1503	2638
363	1507	2633
364	1511	2628
365	1514	2623
366	1518	2618
367	1521	2613
368	1525	2608
369	1529	2603
370	1533	2599
371	1538	2596
372	1542	2592
373	1546	2587
374	1550	2583
375	1554	2579
376	1558	2574
377	1562	2570
378	1566	2566
379	1570	2562
380	1574	2558
381	1579	2554
382	1583	2550
383	1587	2546
384	1591	2541
385	1594	2537
386	1598	2531
387	1601	2526
388	1605	2521
389	1609	2517
390	1613	2512
391	1616	2507
392	1620	2502
393	1623	2497
394	1628	2493
395	1631	2488
396	1635	2483
397	1638	2478
398	1642	2473
399	1645	2468
400	1649	2463
401	1652	2458
402	1656	2453
403	1660	2449
404	1663	2444
405	1667	2439
406	1670	2434
407	1674	2430
408	1678	2425
409	1681	2420
410	1685	2415
411	1689	2410
412	1692	2405
413	1696	2400
414	1699	2395
415	1703	2391
416	1706	2386
417	1710	2381
418	1713	2376
419	1717	2371
420	1721	2367
421	1724	2362
422	1728	2357
423	1732	2353
424	1735	2348
425	1739	2343
426	1742	2338
427	1746	2333
428	1749	2328
429	1753	2324
430	1756	2319
431	1760	2314
432	1763	2309
433	1767	2304
434	1770	2300
435	1774	2295
436	1777	2290
437	1781	2285
438	1785	2281
439	1788	2276
440	1792	2271
441	1795	2266
442	1799	2262
443	1802	2257
444	1806	2252
445	1809	2248
446	1813	2243
447	1816	2238
448	1820	2233
449	1823	2229
450	1827	2224
451	1830	2219
452	1834	2215
453	1837	2210
454	1841	2205
455	1844	2200
456	1848	2196
457	1851	2191
458	1855	2186
459	1858	2182
460	1862	2177
461	1865	2172
462	1869	2168
463	1872	2163
464	1876	2158
465	1879	2154
466	1883	2149
467	1887	2145
468	1890	2140
469	1894	2135
470	1897	2131
471	1901	2126
472	1904	2121
473	1907	2117
474	1911	2112
475	1915	2108
476	1919	2104
477	1923	2100
478	1926	2095
479	1930	2091
480	1934	2087
481	1937	2082
482	1941	2078
483	1945	2074
484	1949	2070
485	1953	2065
486	1957	2061
487	1960	2057
488	1964	2053
489	1968	2048
490	1972	2044
491	1975	2040
492	1979	2035
493	1982	2031
494	1986	2026
495	1989	2021
496	1993	2017
497	1996	2012
498	2000	2008
499	2004	2004
500	2007	1999
501	2011	1995
502	2014	1990
503	2018	1986
504	2021	1981
505	2025	1977
506	2028	1972
507	2032	1968
508	2036	1964
509	2039	1959
510	2043	1955
511	2046	1950
512	2050	1946
513	2054	1942
514	2058	1938
515	2062	1934
516	2065	1929
517	2069	1925
518	2073	1921
519	2076	1916
520	2080	1912
521	2083	1908
522	2087	1903
523	2091	1899
524	2094	1895
525	2098	1890
526	2101	1886
527	2105	1881
528	2108	1877
529	2112	1873
530	2115	1868
531	2119	1864
532	2122	1859
533	2126	1855
534	2129	1851
535	2133	1846
536	2137	1842
537	2141	1838
538	2144	1834
539	2148	1830
540	2153	1826
541	2157	1823
542	2161	1819
543	2165	1814
544	2168	1810
545	2172	1806
546	2176	1802
547	2179	1797
548	2183	1793
549	2186	1789
550	2190	1785
551	2194	1780
552	2197	1776
553	2201	1772
554	2204	1767
555	2208	1763
556	2211	1759
557	2215	1754
558	2218	1750
559	2222	1746
560	2225	1741
561	2229	1737
562	2233	1733
563	2236	1729
564	2240	1724
565	2243	1720
566	2247	1716
567	2251	1712
568	2254	1707
569	2257	1703
570	2261	1699
571	2265	1694
572	2268	1690
573	2272	1686
574	2275	1682
575	2279	1677
576	2282	1673
577	2286	1669
578	2289	1664
579	2293	1660
580	2296	1656
581	2300	1652
582	2303	1647
583	2307	1643
584	2311	1640
585	2315	1636
586	2319	1631
587	2322	1627
588	2326	1623
589	2330	1619
590	2334	1615
591	2337	1611
592	2341	1606
593	2345	1602
594	2348	1598
595	2352	1594
596	2356	1590
597	2359	1586
598	2363	1582
599	2367	1578
600	2370	1573
601	2374	1569
602	2377	1565
603	2381	1561
604	2384	1557
605	2388	1552
606	2392	1548
607	2395	1544
608	2399	1540
609	2402	1536
610	2406	1532
611	2410	1527
612	2413	1523
613	2417	1519
614	2420	1515
615	2424	1511
616	2427	1506
617	2431	1502
618	2435	1498
619	2438	1494
620	2442	1490
621	2445	1486
622	2449	1482
623	2453	1478
624	2456	1474
625	2460	1469
626	2463	1465
627	2467	1461
628	2470	1457
629	2474	1453
630	2478	1449
631	2482	1445
632	2485	1441
633	2489	1437
634	2493	1433
635	2496	1428
636	2500	1424
637	2503	1420
638	2507	1416
639	2511	1412
640	2515	1408
641	2519	1404
642	2523	1400
643	2526	1396
644	2530	1392
645	2534	1388
646	2537	1384
647	2541	1380
648	2544	1376
649	2548	1372
650	2551	1367
651	2555	1363
652	2558	1359
653	2562	1355
654	2565	1351
655	2569	1347
656	2572	1343
657	2576	1339
658	2579	1334
659	2583	1330
660	2587	1327
661	2591	1322
662	2594	1318
663	2598	1314
664	2601	1310
665	2604	1306
666	2608	1302
667	2611	1298
668	2615	1294
669	2618	1289
670	2622	1285
671	2625	1281
672	2629	1277
673	2633	1273
674	2636	1269
675	2639	1265
676	2643	1261
677	2647	1257
678	2650	1253
679	2654	1249
680	2657	1245
681	2662	1241
682	2666	1237
683	2669	1233
684	2673	1229
685	2677	1225
686	2681	1221
687	2685	1217
688	2689	1214
689	2694	1210
690	2698	1206
691	2702	1202
692	2706	1199
693	2710	1195
694	2714	1191
695	2718	1187
696	2722	1183
697	2725	1179
698	2729	1175
699	2733	1171
700	2737	1167
701	2741	1163
702	2744	1159
703	2748	1155
704	2752	1151
705	2755	1147
706	2759	1143
707	2762	1139
708	2766	1135
709	2770	1131
710	2773	1127
711	2777	1123
712	2780	1119
713	2784	1115
714	2788	1111
715	2791	1107
716	2795	1103
717	2798	1099
718	2802	1095
719	2806	1091
720	2809	1087
721	2813	1083
722	2816	1079
723	2820	1075
724	2823	1071
725	2827	1067
726	2831	1063
727	2835	1059
728	2839	1055
729	2842	1051
730	2846	1047
731	2850	1043
732	2853	1039
733	2857	1035
734	2861	1031
735	2864	1027
736	2868	1023
737	2871	1019
738	2875	1015
739	2879	1011
740	2882	1007
741	2886	1003
742	2890	999
743	2893	995
744	2897	991
745	2901	987
746	2904	983
747	2908	979
748	2911	975
749	2915	971
750	2919	967
751	2923	964
752	2926	960
753	2930	956
754	2934	952
755	2937	948
756	2941	944
757	2944	940
758	2948	936
759	2952	932
760	2955	928
761	2959	924
762	2963	920
763	2967	916
764	2970	912
765	2974	908
766	2978	904
767	2981	900
768	2985	896
769	2989	892
770	2992	888
771	2996	884
772	2999	880
773	3003	877
774	3007	873
775	3010	869
776	3014	865
777	3017	861
778	3021	857
779	3025	853
780	3028	849
781	3032	845
782	3036	841
783	3040	837
784	3043	833
785	3047	829
786	3051	825
787	3055	821
788	3058	818
789	3062	814
790	3065	810
791	3068	805
792	3072	802
793	3076	798
794	3080	794
795	3084	790
796	3087	786
797	3091	782
798	3095	778
799	3099	774
800	3103	770
801	3106	767
802	3110	763
803	3113	759
804	3117	755
805	3121	751
806	3124	747
807	3127	743
808	3131	739
809	3134	735
810	3137	731
811	3140	727
812	3144	723
813	3147	719
814	3150	715
815	3154	711
816	3157	707
817	3160	703
818	3164	699
819	3167	695
820	3171	691
821	3174	687
822	3177	683
823	3181	679
824	3184	675
825	3187	671
826	3190	667
827	3194	663
828	3197	659
829	3200	655
830	3204	651
831	3207	647
832	3211	643
833	3214	639
834	3217	635
835	3220	631
836	3224	627
837	3227	623
838	3230	619
839	3233	615
840	3237	612
841	3240	608
842	3243	604
843	3246	600
844	3250	596
845	3253	592
846	3256	588
847	3260	584
848	3263	580
849	3266	576
850	3269	572
851	3273	568
852	3276	564
853	3279	560
854	3283	556
855	3286	552
856	3289	548
857	3293	545
858	3296	541
859	3299	537
860	3302	533
861	3306	529
862	3309	525
863	3312	521
864	3315	517
865	3319	513
866	3322	509
867	3325	505
868	3328	501
869	3332	497
870	3335	493
871	3338	490
872	3341	486
873	3345	482
874	3349	478
875	3352	474
876	3356	470
877	3359	466
878	3363	462
879	3366	459
880	3370	455
881	3373	451
882	3376	447
883	3380	443
884	3383	439
885	3386	435
886	3390	431
887	3393	428
888	3396	424
889	3400	420
890	3403	416
891	3406	412
892	3410	408
893	3413	404
894	3416	400
895	3419	396
896	3423	393
897	3426	389
898	3430	385
899	3433	381
900	3436	377
901	3440	373
902	3443	369
903	3446	366
904	3449	362
905	3454	358
906	3457	354
907	3461	350
908	3464	346
909	3468	342
910	3471	339
911	3475	335
912	3478	331
913	3482	327
914	3486	323
915	3490	320
916	3494	316
917	3498	312
918	3501	308
919	3505	304
920	3509	300
921	3512	297
922	3516	293
923	3519	289
924	3522	285
925	3525	281
926	3529	277
927	3532	274
928	3535	270
929	3539	266
930	3542	262
931	3545	258
932	3548	254
933	3552	251
934	3555	247
935	3558	243
936	3562	239
937	3565	235
938	3568	231
939	3571	227
940	3574	224
941	3578	220
942	3581	216
943	3584	212
944	3588	208
945	3591	205
946	3594	201
947	3598	197
948	3601	193
949	3604	189
950	3607	185
951	3611	182
952	3614	178
953	3617	174
954	3621	170
955	3624	166
956	3627	163
957	3630	159
958	3634	155
959	3637	151
960	3640	147
961	3644	143
962	3647	140
963	3650	136
964	3654	132
965	3657	128
966	3660	124
967	3664	121
968	3667	117
969	3670	113
970	3673	109
971	3677	105
972	3680	102
973	3683	98
974	3686	94
975	3690	90
976	3693	86
977	3696	83
978	3700	79
979	3703	75
980	3706	71
981	3709	68
982	3713	64
983	3716	60
984	3719	56
985	3722	52
986	3725	49
987	3729	45
988	3732	41
989	3735	37
990	3738	33
991	3742	30
992	3745	26
993	3748	22
994	3751	18
995	3755	15
996	3758	11
997	3761	7
998	3764	3
999	3768	0
