iter	Logloss
0	0.6909598313
1	0.6882711435
2	0.6851182846
3	0.6823613917
4	0.6801220426
5	0.6767145594
6	0.6737945318
7	0.6708534291
8	0.6684212223
9	0.6668894318
10	0.6641022672
11	0.6604035528
12	0.6575003569
13	0.6544989508
14	0.6515096176
15	0.6489459286
16	0.6466107896
17	0.6440246471
18	0.6419218066
19	0.6391697001
20	0.6367624616
21	0.6355374889
22	0.6326013128
23	0.6302356996
24	0.6276033382
25	0.625070102
26	0.6230764382
27	0.6212888001
28	0.6195653078
29	0.6161586463
30	0.6138218194
31	0.6113596552
32	0.6086595897
33	0.6057781761
34	0.6045842045
35	0.6019066497
36	0.5993581457
37	0.5977285407
38	0.5955362757
39	0.5938906997
40	0.5921514439
41	0.5896201067
42	0.5873817352
43	0.5856240832
44	0.5830940583
45	0.5816817457
46	0.5804103076
47	0.5786266326
48	0.5769631274
49	0.5753674562
50	0.5733280514
51	0.5720845852
52	0.5698748925
53	0.5687410406
54	0.5662050856
55	0.5645712414
56	0.5630865088
57	0.561079854
58	0.5593855199
59	0.5574096778
60	0.5559309586
61	0.5537628865
62	0.5515020236
63	0.5501108629
64	0.548747152
65	0.5471149981
66	0.5454747777
67	0.5444685072
68	0.5428703179
69	0.5413295314
70	0.5395661429
71	0.5382246487
72	0.5364694798
73	0.5352294421
74	0.5342401699
75	0.5330490953
76	0.5313570848
77	0.5304537739
78	0.5294856508
79	0.5277987895
80	0.5261744852
81	0.5249521276
82	0.5231249989
83	0.5221320993
84	0.5208445852
85	0.5193154567
86	0.5183111998
87	0.5160513823
88	0.5146437343
89	0.5134589787
90	0.5119583253
91	0.5110096572
92	0.5098465819
93	0.5086481079
94	0.5071107217
95	0.5063055656
96	0.5047744402
97	0.5036631595
98	0.5022990703
99	0.5006976735
100	0.4996561985
101	0.4988826874
102	0.4975902337
103	0.4967739318
104	0.495634758
105	0.4943569902
106	0.4932943233
107	0.4918671769
108	0.4902916211
109	0.4887921497
110	0.4877660658
111	0.4868636162
112	0.4858757791
113	0.4842494811
114	0.483242806
115	0.4822884579
116	0.4812075453
117	0.479962779
118	0.479085431
119	0.4779657455
120	0.4771254614
121	0.4760904819
122	0.4754871582
123	0.4749069856
124	0.4736585581
125	0.4728876166
126	0.4716508917
127	0.4705435406
128	0.4694493098
129	0.4684488283
130	0.4671241822
131	0.466197784
132	0.4653329715
133	0.4645173938
134	0.4636895361
135	0.4628256173
136	0.4622436782
137	0.4614391139
138	0.4607267032
139	0.4592699801
140	0.4580730175
141	0.4573513416
142	0.4566532714
143	0.4554425211
144	0.4546011743
145	0.4538186587
146	0.4527513976
147	0.4518787494
148	0.4505796316
149	0.4499029778
150	0.4491159473
